state,operating_count,operating_mw,planned_count,planned_mw,pipeline_multiple,operating_avg_mw,planned_avg_mw
Alabama,13,764,14,2704,3.54,58.8,193.1
Alaska,0,0,1,1000,,,1000.0
Arizona,39,2719,41,10933,4.02,69.7,266.7
Arkansas,1,5,7,550,110.0,5.0,78.6
California,52,963,27,1773,1.84,18.5,65.7
Colorado,13,153,5,1219,7.97,11.8,243.8
Connecticut,1,1,2,300,300.0,1.0,150.0
Florida,12,31,8,4366,140.84,2.6,545.8
Georgia,35,2489,124,11850,4.76,71.1,95.6
Idaho,2,198,4,140,0.71,99.0,35.0
Illinois,30,1037,30,8534,8.23,34.6,284.5
Indiana,22,1328,93,14677,11.05,60.4,157.8
Iowa,49,2324,42,5257,2.26,47.4,125.2
Kansas,3,20,6,1350,67.5,6.7,225.0
Kentucky,1,150,4,1882,12.55,150.0,470.5
Louisiana,1,1,32,9430,9430.0,1.0,294.7
Maine,0,0,3,88,,,29.3
Maryland,2,3,15,2935,978.33,1.5,195.7
Massachusetts,7,57,2,0,0.0,8.1,0.0
Michigan,2,3,11,2940,980.0,1.5,267.3
Minnesota,15,351,14,1512,4.31,23.4,108.0
Mississippi,9,619,21,1841,2.97,68.8,87.7
Missouri,9,228,46,6290,27.59,25.3,136.7
Montana,0,0,3,1150,,,383.3
Nebraska,19,1346,11,3222,2.39,70.8,292.9
Nevada,10,700,29,7073,10.1,70.0,243.9
New Jersey,12,325,7,640,1.97,27.1,91.4
New Mexico,10,489,10,12946,26.47,48.9,1294.6
New York,11,257,25,9803,38.14,23.4,392.1
North Carolina,13,495,49,3975,8.03,38.1,81.1
North Dakota,4,526,7,1100,2.09,131.5,157.1
Ohio,65,3555,115,20172,5.67,54.7,175.4
Oklahoma,12,461,28,5030,10.91,38.4,179.6
Oregon,93,5106,29,2271,0.44,54.9,78.3
Pennsylvania,15,301,66,19940,66.25,20.1,302.1
South Carolina,12,581,11,698,1.2,48.4,63.5
South Dakota,2,3,2,502,167.33,1.5,251.0
Tennessee,16,911,6,2015,2.21,56.9,335.8
Texas,116,6328,216,98904,15.63,54.6,457.9
Utah,19,788,21,28722,36.45,41.5,1367.7
Virginia,371,17393,421,37410,2.15,46.9,88.9
Washington,41,1067,11,1434,1.34,26.0,130.4
West Virginia,0,0,9,10458,,,1162.0
Wisconsin,3,24,10,2190,91.25,8.0,219.0
Wyoming,0,0,8,5402,,,675.2
