state,operating_count,operating_mw,planned_count,planned_mw,pipeline_multiple,operating_avg_mw,planned_avg_mw
Alabama,13,764,14,2704,3.54,58.8,193.1
Alaska,0,0,1,1000,,,1000.0
Arizona,41,2645,45,11054,4.18,64.5,245.6
Arkansas,1,5,7,550,110.0,5.0,78.6
California,53,1006,32,2270,2.26,19.0,70.9
Colorado,13,153,6,1219,7.97,11.8,203.2
Connecticut,1,1,2,300,300.0,1.0,150.0
Florida,12,31,8,4366,140.84,2.6,545.8
Georgia,39,2492,128,11851,4.76,63.9,92.6
Idaho,2,198,4,140,0.71,99.0,35.0
Illinois,31,1137,29,8505,7.48,36.7,293.3
Indiana,23,1348,92,14417,10.7,58.6,156.7
Iowa,49,2324,42,5257,2.26,47.4,125.2
Kansas,3,20,6,1350,67.5,6.7,225.0
Kentucky,1,150,4,1882,12.55,150.0,470.5
Louisiana,1,1,32,9430,9430.0,1.0,294.7
Maine,0,0,3,88,,,29.3
Maryland,2,3,15,2935,978.33,1.5,195.7
Massachusetts,7,57,2,0,0.0,8.1,0.0
Michigan,2,3,13,2940,980.0,1.5,226.2
Minnesota,15,351,14,1512,4.31,23.4,108.0
Mississippi,9,619,21,1841,2.97,68.8,87.7
Missouri,9,228,48,7190,31.54,25.3,149.8
Montana,0,0,3,1150,,,383.3
Nebraska,19,1346,11,3222,2.39,70.8,292.9
Nevada,22,1186,31,7189,6.06,53.9,231.9
New Jersey,13,366,7,442,1.21,28.2,63.1
New Mexico,10,489,10,12946,26.47,48.9,1294.6
New York,9,205,25,9797,47.79,22.8,391.9
North Carolina,13,509,49,3975,7.81,39.2,81.1
North Dakota,4,526,7,1100,2.09,131.5,157.1
Ohio,65,3559,115,20490,5.76,54.8,178.2
Oklahoma,12,461,28,5030,10.91,38.4,179.6
Oregon,93,5096,29,2255,0.44,54.8,77.8
Pennsylvania,15,307,68,20855,67.93,20.5,306.7
South Carolina,12,581,11,698,1.2,48.4,63.5
South Dakota,2,3,2,502,167.33,1.5,251.0
Tennessee,16,911,6,2015,2.21,56.9,335.8
Texas,129,7036,241,98633,14.02,54.5,409.3
Utah,38,923,25,30652,33.21,24.3,1226.1
Virginia,371,17378,438,36406,2.09,46.8,83.1
Washington,41,1067,11,1434,1.34,26.0,130.4
West Virginia,0,0,9,10458,,,1162.0
Wisconsin,3,24,10,2190,91.25,8.0,219.0
Wyoming,0,0,9,5492,,,610.2
